molecule,abundance
CH3OH,2.84-0.52+0.91 e-10
CH3O,7.95-2.48+2.89 e-12
CH3OCHO,< 4.3 e-11
CH3OCH3,< 4.7 e-11
CH3CHO,< 1.13 e-11
t-HCOOH,< 1.49 e-10
c-C3H2O,< 7.6 e-13
H2CCO,2.41-0.46+0.54 e-11
CCCO,< 1.11 e-11
HCCCHO,< 7.6 e-12
HCCNC,6.9-3.0+3.3 e-12
CH2CHCN,< 1.84 e-12
CH3NC,5.27-2.47+2.83 e-13
CH3CN,6.06-1.09+1.32 e-12
HCCCN,1.471-0.180+0.250 e-10
