molecule,abundance
CH3OH,2.86-0.53+0.90 e-10
CH3O,7.9-2.5+2.89 e-12
CH3OCHO,< 4.1 e-11
CH3OCH3,< 4.5 e-11
CH3CHO,< 1.19 e-11
t-HCOOH,< 1.58 e-10
c-C3H2O,< 7.0 e-13
H2CCO,2.39-0.45+0.56 e-11
CCCO,< 1.14 e-11
HCCCHO,< 7.9 e-12
HCCNC,6.9-3.0+3.4 e-12
CH2CHCN,< 1.86 e-12
CH3NC,4.5-2.6+3.0 e-13
CH3CN,6.07-1.10+1.30 e-12
HCCCN,1.470-0.181+0.255 e-10
