molecule,abundance
CH3OH,9.8+/-1.9 e-9
CH3O,< 1.7 e-11
CH3OCHO,< 1.5 e-10
CH3OCH3,< 6.1 e-11
CH3CHO,< 1.9 e-11
t-HCOOH,< 9.2 e-10
c-C3H2O,< 4.0 e-12
H2CCO,6.2+/-0.3 e-10
CCCO,1.7+/-0.3 e-10
HCCCHO,< 2.8 e-11
HCCNC,1.3+/-0.8 e-10
CH2CHCN,1.5+/-0.3 e-10
CH3NC,< 1.1 e-12
CH3CN,1.4+/-0.1 e-11
HCCCN,3.1+/-1.4 e-9
