molecule,abundance
CH3OH,2.86-0.54+0.90 e-10
CH3O,7.93-2.48+2.79 e-12
CH3OCHO,< 4.1 e-11
CH3OCH3,< 4.8 e-11
CH3CHO,< 1.17 e-11
t-HCOOH,< 1.46 e-10
c-C3H2O,< 7.2 e-13
H2CCO,2.40-0.46+0.55 e-11
CCCO,< 1.18 e-11
HCCCHO,< 7.4 e-12
HCCNC,7.0-2.9+3.3 e-12
CH2CHCN,< 1.80 e-12
CH3NC,5.4-2.5+2.87 e-13
CH3CN,6.03-1.08+1.35 e-12
HCCCN,1.472-0.181+0.242 e-10
