molecule,abundance
CH3OH,2.6+/-0.1 e-9
CH3O,3.6+/-1.2 e-12
CH3OCHO,< 3.9 e-11
CH3OCH3,< 1.2 e-11
CH3CHO,< 9.0 e-12
t-HCOOH,< 1.4 e-10
c-C3H2O,< 1.2 e-12
H2CCO,7.8+/-1.8 e-11
CCCO,1.2+/-0.5 e-11
HCCCHO,< 6.0 e-12
HCCNC,2.4+/-1.2 e-11
CH2CHCN,3.9+/-1.2 e-11
CH3NC,< 3.0 e-13
CH3CN,< 2.4 e-12
HCCCN,4.8+/-0.9 e-10
