molecule,abundance
CH3OH,8.0 e-9
CH3O,2.7 e-11
CH3OCHO,1.5+/-0.9 e-10
CH3OCH3,5.1+/-1.1 e-11
CH3CHO,2.1 e-10
t-HCOOH,2.7+/-0.8 e-12
c-C3H2O,4.7 e-12
H2CCO,6.5+/-1.5 e-10
CCCO,4.8+/-0.9 e-11
HCCCHO,2.5+/-1.4 e-11
HCCNC,3.4+/-2.7 e-11
CH2CHCN,3.9+/-3.1 e-11
CH3NC,< 1.1 e-12
CH3CN,< 6 e-12
HCCCN,2.8+/-0.3 e-9
