molecule,abundance
CH3OH,2.63-0.71+0.90 e-10
CH3OCHO,
CH3OCH3,
CH3CHO,8.8-2.8+3.4 e-13
c-C3H2O,1.39-0.45+0.54 e-11
H2CCO,1.49-0.45+0.55 e-11
CH2CHCN,
CH3CN,5.09-1.58+1.90 e-12
HCCCN,9.0-2.8+3.4 e-11
