molecule,abundance
CH3OH,
CH3OCHO,2.78-2.01+0.64 e-10
CH3OCH3,0.99-0.61+0.17 e-10
CH3CHO,1.77-1.27+0.76 e-10
c-C3H2O,
H2CCO,
CH2CHCN,0.62-0.31+0.55 e-10
CH3CN,
HCCCN,
